version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
student 1,sid_sec1@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,One,Student,Student,CyberSpace,,,,,,,,
student 2,sid_sec2@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,two,Student,Student,CyberSpace,,,,,,,,
student 3,sid_sec3@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,three,Student,Student,CyberSpace,,,,,,,,
student 4,sid_sec4@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,four,Student,Student,CyberSpace,,,,,,,,
student 5,sid_sec5@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,five,Student,Student,CyberSpace,,,,,,,,
student 6,sid_sec6@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,six,Student,Student,CyberSpace,,,,,,,,
student 7,sid_sec7@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,seven,Student,Student,CyberSpace,,,,,,,,
student 8,sid_sec8@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,eight,Student,Student,CyberSpace,,,,,,,,
student 9,sid_sec9@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,nine,Student,Student,CyberSpace,,,,,,,,
student 10,sid_sec10@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,ten,Student,Student,CyberSpace,,,,,,,,
student 11,sid_sec111@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,elevn,Student,Student,CyberSpace,,,,,,,,
student 12,sid_sec12@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,twelve,Student,Student,CyberSpace,,,,,,,,
student 13,sid_sec13@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,thriteen,Student,Student,CyberSpace,,,,,,,,
student 14,sid_sec14@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,fourteen,Student,Student,CyberSpace,,,,,,,,
student 15,sid_sec15@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,fifteen,Student,Student,CyberSpace,,,,,,,,
student 16,sid_sec16@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,sixtenn,Student,Student,CyberSpace,,,,,,,,
student 17,sid_sec17@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,seventenn,Student,Student,CyberSpace,,,,,,,,
student 18,sid_sec18@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,eightteen,Student,Student,CyberSpace,,,,,,,,
student 19,sid_sec19@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,nineteen,Student,Student,CyberSpace,,,,,,,,
student 20,sid_sec20@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,twenty,Student,Student,CyberSpace,,,,,,,,
student 21,sid_sec21@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,twentone,Student,Student,CyberSpace,,,,,,,,
student 22,sid_sec22@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,twentytwo,Student,Student,CyberSpace,,,,,,,,
student 23,sid_sec23@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,twentthree,Student,Student,CyberSpace,,,,,,,,
student 24,sid_sec24@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,twentyfour,Student,Student,CyberSpace,,,,,,,,
student 25,sid_sec25@m365x561291.onmicrosoft.com, Sirius-2021!, No,Student,twentyfive,Student,Student,CyberSpace,,,,,,,,
